SPOTUK1L	SPOTFR1L	SPOTYEN1L	SPOTUK3L	SPOTFR3L	SPOTYEN3L	FOR1UKL	FOR1FRL	FOR1YENL	FOR3UKL	FOR3FRL	FOR3YENL
0.48981	-1.73104	-5.06927	0.55704	-1.72149	-5.02555	0.49348	-1.74326	-5.06088	0.48292	-1.74632	-5.05899
0.52177	-1.7367	-5.01736	0.61896	-1.67291	-5.0061	0.4844	-1.732	-5.068	0.47412	-1.73307	-5.06562
0.55704	-1.72149	-5.02555	0.63763	-1.66284	-4.96542	0.51629	-1.73805	-5.01645	0.50519	-1.74117	-5.01464
0.61896	-1.67291	-5.0061	0.62701	-1.65548	-4.928	0.55158	-1.72281	-5.02478	0.54134	-1.72562	-5.02387
0.63763	-1.66284	-4.96542	0.66757	-1.61949	-4.85942	0.61324	-1.67435	-5.0055	0.60196	-1.67794	-5.00535
0.62701	-1.65548	-4.928	0.6632	-1.62506	-4.89259	0.63202	-1.66433	-4.96542	0.62106	-1.66797	-4.96542
0.66757	-1.61949	-4.85942	0.65076	-1.62913	-4.90492	0.62149	-1.65691	-4.92786	0.61118	-1.6603	-4.92813
0.6632	-1.62506	-4.89259	0.68082	-1.60744	-4.87934	0.66274	-1.62099	-4.85929	0.65389	-1.62425	-4.85968
0.65076	-1.62913	-4.90492	0.64238	-1.65496	-4.90115	0.65892	-1.62597	-4.89219	0.65128	-1.62893	-4.89232
0.68082	-1.60744	-4.87934	0.55216	-1.75446	-4.95091	0.64521	-1.63095	-4.90506	0.6361	-1.63549	-4.90573
0.64238	-1.65496	-4.90115	0.5321	-1.77255	-4.93229	0.67529	-1.60991	-4.88027	0.66367	-1.6153	-4.88264
0.55216	-1.75446	-4.95091	0.53708	-1.76668	-4.92758	0.63727	-1.65688	-4.90236	0.62834	-1.66098	-4.90412
0.5321	-1.77255	-4.93229	0.48458	-1.81462	-4.92441	0.54702	-1.75703	-4.95218	0.53772	-1.76237	-4.95444
0.53708	-1.76668	-4.92758	0.52384	-1.77845	-4.9192	0.5268	-1.77525	-4.93409	0.5185	-1.78033	-4.93673
0.48458	-1.81462	-4.92441	0.52087	-1.77727	-4.91851	0.53251	-1.76964	-4.9291	0.52414	-1.77512	-4.93159
0.52384	-1.77845	-4.9192	0.55216	-1.74526	-4.89405	0.48007	-1.81777	-4.92579	0.47231	-1.82378	-4.92869
0.52087	-1.77727	-4.91851	0.55389	-1.73614	-4.86914	0.51962	-1.78159	-4.92043	0.51175	-1.78754	-4.92276
0.55216	-1.74526	-4.89405	0.56628	-1.71424	-4.86679	0.51665	-1.78014	-4.92002	0.50844	-1.78619	-4.92235
0.55389	-1.73614	-4.86914	0.61815	-1.66021	-4.82706	0.54795	-1.74885	-4.89512	0.54099	-1.75499	-4.89619
0.56628	-1.71424	-4.86679	0.58054	-1.70101	-4.83032	0.54943	-1.73946	-4.87005	0.54081	-1.74627	-4.87135
0.61815	-1.66021	-4.82706	0.56588	-1.7148	-4.86097	0.56179	-1.71816	-4.86783	0.55256	-1.72647	-4.86953
0.58054	-1.70101	-4.83032	0.55589	-1.7076	-4.89392	0.61281	-1.6653	-4.82819	0.60246	-1.67494	-4.83032
0.56588	-1.7148	-4.86097	0.57622	-1.71424	-4.89112	0.57537	-1.70573	-4.83132	0.56492	-1.71569	-4.83282
0.55589	-1.7076	-4.89392	0.60514	-1.68578	-4.84928	0.56064	-1.71973	-4.862	0.55095	-1.72921	-4.86303
0.57622	-1.71424	-4.89112	0.64763	-1.62658	-4.82594	0.55066	-1.71242	-4.89432	0.53959	-1.72196	-4.89512
0.60514	-1.68578	-4.84928	0.6518	-1.60744	-4.84699	0.57053	-1.71948	-4.89179	0.5607	-1.72953	-4.89259
0.64763	-1.62658	-4.82594	0.68461	-1.56734	-4.81552	0.60021	-1.69074	-4.84992	0.59045	-1.70102	-4.85094
